,Inhibition,Activation,Total
Actinia equina,3,2,5
Melilotus albus,14,3,17
Mycoplasma dispar,1,0,1
Limnoria quadripunctata,2,0,2
Burkholderia thailandensis,36,0,36
Aeromonas salmonicida,0,2,2
Gadus macrocephalus,8,0,8
Phascolopsis gouldii,1,0,1
Microbacterium saperdae,5,0,5
Embryophyta,19,8,27
Luciola cruciata,4,2,6
Filipendula vulgaris,1,0,1
Colwellia psychrerythraea,10,2,12
Macrobrachium nipponense,4,3,7
Panulirus versicolor,1,0,1
Bacteroides polypragmatus,1,3,4
Equisetum arvense,0,1,1
Arthrobacter crystallopoietes,17,0,17
Nicotiana glauca,8,3,11
Lactobacillus panis,1,0,1
Pieris rapae,2,0,2
Archaeoglobus fulgidus,106,27,133
Nephtys hombergii,2,0,2
Synechococcus elongatus,12,5,17
Lycium barbarum,3,0,3
Ovophis okinavensis,2,0,2
Atriplex hortensis,0,1,1
Asparagus setaceus,4,3,7
Bryum argenteum,0,3,3
Catostomus commersonii,0,1,1
Listeria seeligeri,5,0,5
Setaria viridis,67,0,67
Paralabrax nebulifer,1,1,2
Prosthecochloris vibrioformis,10,1,11
Triturus carnifex,1,1,2
Merluccius productus,3,0,3
Pinus halepensis,1,0,1
Gracilaria gracilis,4,0,4
Engraulis japonicus,6,0,6
Riccia fluitans,8,8,16
Brassica napus,94,30,124
Streptomyces aureofaciens,64,14,78
Deinococcus radiodurans,63,10,73
Acidithiobacillus ferrooxidans,58,14,72
Delftia acidovorans,73,9,82
Paenibacillus macerans,20,17,37
Euonymus alatus,35,5,40
Pituophis deppei,1,0,1
Streptomyces morookaense,0,3,3
Streptomyces purpurascens,5,0,5
Polytrichum commune,5,0,5
Xenorhabdus bovienii,1,0,1
Microbacterium luteolum,3,1,4
Bacteroides intestinalis,0,2,2
Pusa hispida ladogensis,7,0,7
Clarkia breweri,26,1,27
Zoysia tenuifolia,1,0,1
Pigeon,39,4,43
Taxus baccata,5,1,6
Sporolactobacillus laevolacticus,4,2,6
Epinephelus malabaricus,1,0,1
Prevotella nigrescens,4,0,4
Coccochloris peniocystis,17,2,19
Bison bison,1,3,4
Bubalus bubalis,20,8,28
Anoxybacillus gonensis,3,0,3
Thermobispora bispora,0,1,1
Pinus massoniana,1,0,1
Panax ginseng,9,4,13
Taxus x media,0,4,4
Cellulomonas biazotea,1,0,1
Ameiurus nebulosus,1,3,4
Saprolegnia monoica,9,3,12
Sulfurospirillum multivorans,14,0,14
Geobacillus stearothermophilus,471,65,536
Manihot esculenta,43,1,44
Erwinia rhapontici,5,2,7
Sorbus aucuparia,2,2,4
Haloarcula vallismortis,27,12,39
Sulfophobococcus zilligii,3,2,5
Peltigera aphthosa,2,0,2
Sphingomonas wittichii,4,0,4
Agama agama,6,0,6
Eleusine coracana,22,4,26
Clostridium innocuum,1,2,3
Lactobacillus sakei,29,1,30
Aeromonas hydrophila,60,28,88
Todarodes pacificus,37,10,47
Acremonium,4,1,5
Vitis labrusca,4,0,4
Pseudomonas anguilliseptica,5,0,5
Pseudonaja textilis,1,1,2
Arenicola marina,9,1,10
Clostridium pasteurianum,89,22,111
Thermoproteus tenax,30,16,46
Streptomyces violaceoruber,16,0,16
Chiloscyllium punctatum,2,1,3
Nesterenkonia xinjiangensis,5,1,6
Nephrolepis exaltata,1,0,1
Streptomyces flocculus,4,0,4
Delonix regia,19,0,19
Astragalus sinicus,6,0,6
Coxiella burnetii,4,0,4
Lumbricus terrestris,14,8,22
Liposcelis entomophila,9,3,12
Cuscuta reflexa,8,0,8
Colossoma macropomum,13,0,13
Thunnus thynnus,3,1,4
Burkholderia gladioli,4,0,4
Lonicera japonica,21,1,22
Liposcelis paeta,10,1,11
Thalassiosira weissflogii,10,0,10
Coturnix japonica,10,0,10
Phaseolus acutifolius,0,1,1
Arum italicum,4,3,7
Dinobryon sociale,1,0,1
Mycoplasma genitalium,6,1,7
Quercus glauca,1,0,1
Trifolium repens,3,0,3
Bifidobacterium animalis,1,1,2
Borassus flabellifer,10,2,12
Chaetoceros socialis,1,0,1
Streptomyces viridochromogenes,2,0,2
Streptococcus acidominimus,0,1,1
Crassostrea virginica,9,1,10
Cellulosimicrobium cellulans,7,0,7
Trygonorrhina fasciata,2,0,2
Eledone cirrhosa,6,0,6
Uronema marinum,6,1,7
Calliphoridae,10,8,18
Clostridium subterminale,3,4,7
Bothrops alternatus,6,0,6
Acetobacterium woodii,31,7,38
Ceratitis capitata,17,0,17
Sulfurospirillum deleyianum,6,5,11
Zymomonas mobilis,161,15,176
Aquifex pyrophilus,4,5,9
Champsocephalus gunnari,0,1,1
Pandalus borealis,2,0,2
Flavobacterium frigidimaris,31,0,31
Hypericum androsaemum,0,1,1
Robinia pseudoacacia,2,2,4
Lechevalieria aerocolonigenes,9,0,9
Dioscorea cayenensis,11,1,12
Thermochromatium tepidum,1,0,1
Yersinia enterocolitica,17,1,18
Streptomyces viridiviolaceus,2,0,2
Maricaulis maris,2,1,3
Moritella marina,7,1,8
Methylobacillus flagellatus,16,2,18
Thermomicrobium roseum,11,0,11
Mercenaria mercenaria,8,0,8
Scomber japonicus,7,0,7
Microcystis aeruginosa,17,0,17
Carica papaya,169,20,189
Thermococcus chitonophagus,3,0,3
Aphis gossypii,4,2,6
Geobacillus thermoglucosidasius,28,3,31
Cryphonectria parasitica,18,0,18
Malus pumila,0,1,1
Arthrobacter phenanthrenivorans,1,0,1
Clostridium sordellii,2,0,2
snake,6,0,6
Isoptericola jiangsuensis,2,0,2
Methanococcus vannielii,13,1,14
Thermococcus fumicolans,2,0,2
Burkholderia xenovorans,19,2,21
Bacillus weihenstephanensis,4,0,4
Tropidechis carinatus,0,2,2
Aiptasia pallida,2,3,5
Bothrops neuwiedi,2,0,2
Morganella morganii,61,4,65
Gammarus pulex,4,0,4
Planomonospora venezuelensis,0,1,1
Arabidopsis thaliana,1208,277,1485
Saccharomyces cerevisiae,3840,580,4420
Wolinella succinogenes,8,1,9
Gloydius shedaoensis,2,0,2
Lamprobacter modestohalophilus,4,0,4
Heterodontus portusjacksoni,9,0,9
Bacillus pumilus,67,4,71
Bifidobacterium breve,21,4,25
Xanthobacter agilis,4,0,4
Amaranthus cruentus,1,0,1
Myxine glutinosa,6,0,6
Moraxella osloensis,3,1,4
Sitobion avenae,5,0,5
Testudinidae,7,0,7
Alexandrium minutum,1,0,1
Haemophilus influenzae,370,26,396
Bromus tectorum,0,2,2
Bacillus nealsonii,6,0,6
Propionibacterium freudenreichii,35,4,39
Streptomyces rubiginosus,12,0,12
Photuris pennsylvanica,35,0,35
Citrus maxima,18,1,19
Xiphophorus maculatus,1,0,1
Acetobacter aceti,42,1,43
Acidothermus cellulolyticus,1,0,1
Ficus benghalensis,0,1,1
Zonotrichia albicollis,4,0,4
Halobacterium salinarum,76,31,107
Thermofilum pendens,15,7,22
Senna obtusifolia,2,0,2
Agkistrodon piscivorus piscivorus,2,2,4
Anabaena variabilis,35,12,47
Diceros bicornis,3,2,5
Rahnella aquatilis,4,0,4
Bacillus mojavensis,10,0,10
Oncorhynchus keta,16,4,20
Scorpaena porcus,4,4,8
Asterionella formosa,2,1,3
Arachis hypogaea,122,51,173
Lepidorhombus boscii,6,0,6
Euonymus japonicus,12,0,12
Rhodotorula aurantiaca,6,3,9
Selaginella lepidophylla,2,4,6
Bubo virginianus,1,0,1
Vogesella indigofera,15,1,16
Aix sponsa,4,0,4
Staphylococcus capitis,4,0,4
Desulfurococcus mucosus,8,0,8
Lamellidens corrianus,1,0,1
Citrobacter freundii,98,23,121
Blattella germanica,17,0,17
Culex quinquefasciatus,41,3,44
Colias eurytheme,4,0,4
Allium sativum,41,2,43
Thermoanaerobacterium thermosaccharolyticum,37,0,37
Agkistrodon contortrix contortrix,7,1,8
Asterococcus superbus,1,0,1
Microbacterium esteraromaticum,9,0,9
Dasyatis pastinaca,2,2,4
Silybum marianum,2,2,4
Rubrobacter xylanophilus,2,0,2
Liza parsia,6,0,6
Pseudocentrotus depressus,0,2,2
Palaemon serratus,17,2,19
Lathyrus cicera,6,0,6
Picrophilus oshimae,2,0,2
Pseudoalteromonas undina,6,2,8
Macrobrachium malcolmsonii,0,1,1
Neovison vison,2,0,2
Mentha x gracilis,2,0,2
Cellulomonas uda,9,0,9
Staphylococcus carnosus,4,0,4
Lymantria dispar,14,3,17
Lentzea albida,1,0,1
Desulfobulbus propionicus,1,0,1
Sinapis alba,43,19,62
Enterobacter hormaechei,8,0,8
Aralia elata,5,0,5
Macaca fuscata,51,6,57
Metroxylon sagu,3,0,3
Ovis ammon,1,1,2
Scyliorhinus canicula,17,3,20
Psidium guajava,6,2,8
Megathyrsus maximus,5,0,5
Ficus religiosa,8,0,8
Rhodotorula flava,4,0,4
Actinomyces viscosus,15,1,16
Ascophyllum nodosum,2,0,2
Pantoea agglomerans,45,4,49
Aneurinibacillus aneurinilyticus,19,2,21
Chondrichthyes,3,0,3
Citrullus lanatus,8,1,9
Onobrychis viciifolia,24,0,24
Torulopsis sphaerica,13,0,13
Sphingobium chlorophenolicum,4,1,5
Trematomus bernacchii,3,0,3
Mesorhizobium loti,17,2,19
Derxia gummosa,36,0,36
Thermococcus sibiricus,11,0,11
Macrobrachium vollenhovenii,10,0,10
Rickettsia prowazekii,1,1,2
Acidithiobacillus thiooxidans,35,1,36
Daboia russelii,32,1,33
Physcomitrella patens,21,8,29
Vaccinium myrtillus,4,0,4
Solanum torvum,4,0,4
Arenibacter latericius,8,0,8
Callinectes danae,4,0,4
Sporobolomyces pararoseus,10,0,10
Triticum aestivum,457,106,563
Loxosceles intermedia,2,0,2
Papio anubis,9,0,9
Laceyella sacchari,34,0,34
Marsupenaeus japonicus,10,3,13
Corynebacterium ammoniagenes,33,4,37
Pediococcus parvulus,5,3,8
Fervidobacterium pennivorans,10,2,12
Pelophylax ridibundus,21,7,28
Pteris vittata,4,6,10
Thermus brockianus,2,0,2
Parona signata,1,0,1
Xenorhabdus nematophila,6,4,10
Scylla serrata,2,0,2
Homarus gammarus,3,0,3
Polytrichum piliferum,2,0,2
Burkholderia vietnamiensis,4,0,4
Carcinus maenas,9,0,9
Unio pictorum,1,0,1
Sphagnum fallax,3,0,3
Matthiola incana,29,1,30
Photobacterium phosphoreum,25,2,27
Camptotheca acuminata,1,3,4
Clitoria ternatea,5,0,5
Acidilobus saccharovorans,5,3,8
Acidiphilium organovorum,4,0,4
Diabrotica virgifera,1,0,1
Arum maculatum,3,0,3
Natronococcus occultus,3,1,4
Mangifera indica,1,0,1
Mammalia,488,122,610
Serratia liquefaciens,6,19,25
Burkholderia stabilis,12,0,12
Lumbricus rubellus,2,0,2
Pyrocystis lunula,16,0,16
Phaeospirillum molischianum,6,17,23
Lactobacillus hilgardii,12,8,20
Cornus officinalis,0,1,1
Corynebacterium flavescens,1,0,1
Thauera chlorobenzoica,1,1,2
Bungarus multicinctus,2,1,3
Mimosa pudica,4,0,4
Aeromonas sobria,11,0,11
Calystegia sepium,11,0,11
Buchnera aphidicola,1,0,1
Moorella thermoacetica,76,8,84
Anticarsia gemmatalis,2,0,2
Salvia officinalis,86,7,93
Aggregatibacter actinomycetemcomitans,2,0,2
Eubacterium limosum,7,0,7
Syntrophus aciditrophicus,1,0,1
Liposcelis bostrychophila,4,1,5
Thioalkalivibrio nitratireducens,6,0,6
Vipera ammodytes ammodytes,11,1,12
Zinnia violacea,3,0,3
Asterias amurensis,2,0,2
Gluconacetobacter liquefaciens,8,1,9
Chenopodium album,67,1,68
Aeribacillus pallidus,39,3,42
Typha latifolia,1,0,1
Synanceia horrida,3,0,3
Paenibacillus curdlanolyticus,0,1,1
Desulfurococcus amylolyticus,3,0,3
Xylella fastidiosa,1,0,1
Cellulomonas fimi,16,3,19
Actinomyces israelii,3,0,3
Rattus rattus,21,1,22
Albatrossia pectoralis,10,0,10
Pseudomonas rhodesiae,1,0,1
Ceratonia siliqua,3,0,3
Naja naja,40,2,42
Carum carvi,4,0,4
Azospirillum brasilense,50,18,68
Geobacillus thermocatenulatus,8,3,11
Mycoplasma hyorhinis,5,0,5
Narcissus tazetta,4,0,4
Tyto alba,0,2,2
Stenotrophomonas rhizophila,0,1,1
Streptomyces wedmorensis,5,0,5
Thermotoga maritima,178,47,225
Clostridium bolteae,1,0,1
Citrobacter braakii,18,3,21
Stenotrophomonas maltophilia,113,12,125
Musa acuminata,37,2,39
Fistularia petimba,1,0,1
Clostridium formicaceticum,5,0,5
Clostridium tetanomorphum,47,15,62
Pseudobutyrivibrio ruminis,1,0,1
Corylus avellana,19,0,19
Pelophylax perezi,1,0,1
Lupinus luteus,98,5,103
Ramonda serbica,5,1,6
Vibrio fluvialis,3,0,3
Staphylococcus saprophyticus,8,1,9
Fundulus heteroclitus,3,7,10
Streptomyces thermoviolaceus,14,1,15
Prevotella buccalis,1,0,1
Argiope aurantia,1,0,1
Pallavicinia lyellii,14,0,14
Ovibos moschatus,2,0,2
Streptomyces diastaticus,7,1,8
Thermoanaerobacter ethanolicus,24,4,28
Pterygoplichthys disjunctivus,12,0,12
Solanum peruvianum,37,1,38
Klebsiella oxytoca,25,8,33
Delesseria sanguinea,0,1,1
Treponema pectinovorum,3,0,3
Sulfitobacter pontiacus,1,0,1
dogfish,12,0,12
Acinetobacter baylyi,19,5,24
Phormidium laminosum,28,0,28
Streptococcus equinus,5,4,9
Clostridium histolyticum,431,0,431
Acipenser gueldenstaedtii,14,0,14
Lunularia cruciata,3,0,3
Brevibacillus laterosporus,26,1,27
Sthenoteuthis oualaniensis,10,0,10
Haloferax mediterranei,34,14,48
Staphylococcus haemolyticus,15,0,15
Lysobacter enzymogenes,15,1,16
Heteropneustes fossilis,9,7,16
Picea rubens,1,0,1
Lilium longiflorum,59,2,61
Trichoplusia ni,22,4,26
Burkholderia lata,3,0,3
Pinus koraiensis,0,1,1
Cymbopogon citratus,5,0,5
Streptomyces roseolus,5,0,5
Alca torda,1,0,1
Naja atra,5,0,5
Streptococcus salivarius,54,12,66
Hyoscyamus albus,0,4,4
Fagus sylvatica,1,0,1
Burkholderia cepacia,114,12,126
Glycyrrhiza glabra,1,0,1
squid,1,9,10
Yersinia intermedia,8,1,9
Nitrobacter hamburgensis,4,0,4
Setaria faberi,2,0,2
Nicotiana alata,1,4,5
Streptomyces cacaoi,5,0,5
Pseudomonas marginalis,23,1,24
Papaver bracteatum,1,1,2
Arthrobacter protophormiae,6,1,7
Streptococcus agalactiae,96,3,99
Acidaminococcus fermentans,13,4,17
Tetragenococcus muriaticus,2,0,2
Pseudoalteromonas espejiana,3,0,3
Avena sativa,128,18,146
Pseudonocardia thermophila,17,2,19
Albizia julibrissin,3,0,3
Selenastrum capricornutum,7,1,8
Cryptomeria japonica,10,0,10
Orconectes limosus,7,0,7
Brucella melitensis,18,1,19
Myzus persicae,1,0,1
Naegleria fowleri,11,22,33
Pisaster ochraceus,2,0,2
Pseudomonas oleovorans,8,1,9
Melissa officinalis,1,0,1
Fungi,4,0,4
Sphingobium japonicum,1,0,1
Rhodoblastus acidophilus,1,4,5
Corynebacterium xerosis,4,0,4
Prochlorococcus marinus,1,1,2
Pinus contorta,11,0,11
Brevibacillus thermoruber,0,1,1
Beta vulgaris,214,39,253
Rauvolfia serpentina,57,0,57
Gadus morhua callarias,7,0,7
Aplysia californica,26,6,32
Suncus murinus,2,0,2
Uria aalge,1,0,1
Clostridium scindens,4,0,4
Asterias rubens,26,4,30
Thermus thermophilus,265,63,328
Litchi chinensis,5,0,5
Camelina sativa,1,1,2
Pinus sylvestris,5,2,7
Ptilota filicina,1,0,1
Persicaria minor,5,1,6
Serratia fonticola,3,0,3
Methanofollis liminatans,5,0,5
Staphylococcus pseudintermedius,4,1,5
Jeotgalibacillus marinus,1,0,1
Fusobacterium varium,3,1,4
Cheilocostus speciosus,5,0,5
Clostridium sphenoides,2,1,3
Streptococcus mutans,127,22,149
Dickeya dadantii,2,2,4
Macaca mulatta,60,33,93
Microlunatus phosphovorus,3,0,3
Paracoccus denitrificans,206,25,231
Staurastrum cingulum,1,0,1
Hydra oligactis,1,1,2
Streptomyces bikiniensis,15,0,15
Streptococcus gordonii,17,4,21
Macrobrachium amazonicum,1,1,2
Nephilengys cruentata,1,0,1
Arthrobacter ilicis,2,0,2
Pseudoalteromonas tetraodonis,3,0,3
Ruminococcus albus,30,8,38
Litopenaeus setiferus,7,0,7
Prunus cerasifera,1,1,2
Haemophilus parasuis,23,0,23
Ophiodon elongatus,1,0,1
Lactobacillus brevis,49,10,59
Eriobotrya japonica,20,0,20
Lactobacillus buchneri,22,2,24
Trimeresurus malabaricus,9,0,9
Pseudomonas synxantha,22,0,22
Azotobacter chroococcum,33,7,40
Streptomyces arenae,1,0,1
Prevotella bivia,4,0,4
Limulus polyphemus,21,5,26
Pyrococcus furiosus,207,58,265
Ceramium deslongchampsii,0,1,1
Thermoanaerobacter thermohydrosulfuricus,45,10,55
Colwellia maris,2,0,2
Thermoactinomyces intermedius,1,0,1
Protophormia terraenovae,4,0,4
trout,15,0,15
Eremosphaera viridis,0,4,4
Pythium ultimum,3,0,3
Petiveria alliacea,1,0,1
Jatropha curcas,6,2,8
Pogostemon cablin,2,0,2
Aulacoseira granulata,1,0,1
Pteris ensiformis,2,2,4
Mytilus edulis,16,7,23
Torpedo marmorata,4,0,4
Pyrocystis fusiformis,16,0,16
Amycolatopsis mediterranei,33,11,44
Laminaria digitata,1,0,1
Heterodera glycines,2,0,2
Saponaria officinalis,3,2,5
Euterpe oleracea,10,1,11
Bacillus thuringiensis,42,20,62
Busycotypus canaliculatus,6,0,6
Carthamus tinctorius,17,3,20
Gadus morhua,21,0,21
Listeria monocytogenes,19,6,25
Rhyzopertha dominica,10,0,10
protozoa,1,1,2
Panicum miliaceum,10,1,11
Papaver rhoeas,2,0,2
Neisseria polysaccharea,1,3,4
Methylovorus mays,1,0,1
Bartonella henselae,6,0,6
Potorous tridactylus,1,0,1
Medicago sativa,94,22,116
Rhodococcus opacus,49,6,55
Mus musculus domesticus,2,0,2
Bothrops moojeni,4,3,7
Gasterosteus aculeatus,0,1,1
Lolium rigidum,12,1,13
Allium tuberosum,3,1,4
Dicranopteris linearis,0,1,1
Tachypleus tridentatus,20,6,26
Caldicellulosiruptor saccharolyticus,33,4,37
Streptomyces albus,19,0,19
Frog,14,1,15
Pythium aphanidermatum,3,0,3
Streptococcus anginosus,8,3,11
Hymenaea courbaril,1,0,1
Bradyrhizobium japonicum,57,12,69
Clonorchis sinensis,19,0,19
Neanthes succinea,2,0,2
Staphylococcus epidermidis,122,3,125
Pelobacter acetylenicus,6,3,9
Trachemys scripta elegans,9,0,9
Mycobacterium smegmatis,311,47,358
Neisseria gonorrhoeae,89,3,92
Capsicum annuum,47,13,60
Nephrops norvegicus,9,3,12
Chironomus riparius,18,0,18
Bothrops cotiara,3,0,3
Amoeba proteus,8,0,8
Rhodosporidium toruloides,56,11,67
Oxydoras sifontesi,1,0,1
Prevotella oris,1,0,1
Hippasa partita,3,1,4
Sulfolobus solfataricus,473,118,591
Culex pipiens,2,1,3
Neisseria cinerea,1,0,1
Lycopodium clavatum,0,1,1
Meiothermus ruber,12,0,12
Pyrus pyrifolia,14,2,16
Streptomyces albaduncus,5,0,5
Silene dioica,14,13,27
Gluconobacter oxydans,170,26,196
Nitzschia thermalis,1,0,1
Larix kaempferi,3,0,3
Anaplasma marginale,4,0,4
Xanthobacter autotrophicus,12,4,16
Sulfolobus metallicus,1,0,1
Podophyllum peltatum,2,0,2
Drosophila melanogaster,516,89,605
Rosa laevigata,0,1,1
Oreochromis niloticus,64,2,66
Fragaria vesca,2,1,3
Chlorella vulgaris,26,21,47
Homo sapiens,48702,4208,52910
Pisum sativum,685,115,800
Clostridium aceticum,0,1,1
Anas platyrhynchos,62,6,68
Clostridium butyricum,43,22,65
Bdellovibrio bacteriovorus,9,2,11
Streptomyces reticuli,2,3,5
Pseudomonas aeruginosa,1330,141,1471
Xanthomonas citri,4,0,4
Vigna angularis,24,7,31
Sebastes schlegelii,1,1,2
Acinetobacter radioresistens,4,0,4
Mycoplasma arginini,1,0,1
Clostridium cochlearium,11,0,11
Oryctolagus cuniculus,2824,421,3245
Halorubrum lacusprofundi,4,0,4
Tribolium castaneum,19,3,22
Ruegeria lacuscaerulensis,8,0,8
Pyrobaculum calidifontis,13,1,14
Bacteria,75,22,97
