,Inhibition,Activation,Total
Bemisia tabaci,2,0,2
Drosophila virilis,2,7,9
Xanthomonas campestris,43,6,49
Anaplasma marginale,4,0,4
Lactobacillus murinus,8,2,10
Scylla serrata,2,0,2
Clibanarius vittatus,2,1,3
Panulirus argus,2,0,2
Rhodococcus ruber,1,1,2
Propionibacterium acidipropionici,4,0,4
Echinochloa colona,1,0,1
Streptomyces galbus,7,0,7
Citrus maxima,18,1,19
Cavia aperea,7,1,8
Arthrobacter crystallopoietes,17,0,17
Nepenthes distillatoria,7,0,7
Rhodotorula aurantiaca,8,3,11
Solenocera melantho,3,0,3
Moraxella nonliquefaciens,5,0,5
Geobacter sulfurreducens,3,0,3
Streptomyces seoulensis,1,0,1
Saccharophagus degradans,17,0,17
Saccharomyces fragilis,27,2,29
Yersinia intermedia,8,1,9
Gallus gallus,1499,282,1781
Tyto alba,0,2,2
Anguilla japonica,0,5,5
Amaranthus tuberculatus,3,0,3
Pieris rapae,3,0,3
Beggiatoa alba,2,0,2
Cellvibrio mixtus,1,0,1
Ceratitis capitata,17,0,17
Pimephales promelas,0,1,1
Laceyella sacchari,34,0,34
Rana temporaria,9,7,16
Trimeresurus stejnegeri,5,0,5
Methanospirillum hungatei,17,3,20
Paenibacillus thiaminolyticus,11,11,22
Pinus contorta,11,0,11
Mycobacterium abscessus,9,0,9
Cellulomonas uda,9,0,9
Actinidia chinensis,17,1,18
Allium tuberosum,3,1,4
Macaca fuscata fuscata,13,0,13
Laceyella putida,4,5,9
Shigella dysenteriae,25,19,44
Leifsonia aquatica,1,0,1
Chionodraco hamatus,2,0,2
Metridium senile,7,0,7
Streptomyces parvus,6,0,6
Mycobacterium goodii,3,0,3
Streptomyces cacaoi,5,0,5
Dendrobaena veneta,4,0,4
Xanthomonas oryzae,8,0,8
Anastrepha fraterculus,0,2,2
Clostridium paraputrificum,15,1,16
Vogesella indigofera,15,1,16
Cyprinus carpio,105,14,119
Rothia dentocariosa,1,1,2
Citrullus lanatus,8,1,9
Agkistrodon piscivorus piscivorus,2,2,4
Halobacterium salinarum,77,31,108
Mycoplasma penetrans,4,0,4
Anguilla rostrata,2,1,3
Candida parapsilosis,144,5,149
Weissella cibaria,8,0,8
Ximenia americana,4,0,4
Pseudomonas knackmussii,7,1,8
Solanum melongena,32,3,35
Pyrus pyrifolia,14,2,16
Clostridium chauvoei,10,1,11
Cystoseira tamariscifolia,8,0,8
Ipomoea hederacea,1,0,1
Diabrotica virgifera,1,0,1
Geobacillus kaustophilus,7,1,8
Cricetus cricetus,2,0,2
dogfish,12,0,12
Anaerobiospirillum succiniciproducens,1,0,1
Methanocaldococcus jannaschii,239,37,276
Cistus incanus,9,0,9
Sardinella aurita,11,0,11
Cerastes cerastes,3,0,3
Thermotoga petrophila,8,0,8
Nephtys caeca,6,0,6
Senecio vulgaris,10,0,10
Saponaria officinalis,3,2,5
Streptomyces griseoviridis,13,2,15
Bromus rubens,0,2,2
Torulopsis candida,3,0,3
Sanguinaria canadensis,16,0,16
Crocus sativus,17,3,20
Petiveria alliacea,1,0,1
Vigna umbellata,17,1,18
Mycoplasma hyorhinis,5,0,5
Caulobacter vibrioides,38,4,42
Pyrococcus furiosus,207,58,265
Streptococcus equinus,5,4,9
Streptococcus pneumoniae,742,21,763
Rahnella aquatilis,4,0,4
Corylus avellana,19,0,19
Mya arenaria,0,2,2
Shigella boydii,11,2,13
Geobacillus stearothermophilus,473,65,538
Misgurnus mizolepis,15,4,19
Xenorhabdus nematophila,6,4,10
Notropis hudsonius,0,1,1
Chaetopterus variopedatus,2,0,2
Spodoptera litura,0,1,1
Ipomoea nil,10,6,16
Pectobacterium atrosepticum,1,0,1
Phascolopsis gouldii,1,0,1
Fundulus heteroclitus,3,7,10
Pinus halepensis,2,0,2
Testudo graeca nabeulensis,5,0,5
Amphidinium carterae,2,0,2
Lactobacillus fermentum,38,2,40
Alcaligenes faecalis,134,27,161
Diceros bicornis,3,2,5
Pseudoalteromonas carrageenovora,5,0,5
Streptomyces albus,19,0,19
Bombyx mori,127,14,141
Bubalus bubalis,20,8,28
Podophyllum peltatum,2,0,2
Caldanaerobius polysaccharolyticus,14,0,14
Catostomus commersonii,0,1,1
Diploptera punctata,6,0,6
Calanus finmarchicus,4,1,5
Derxia gummosa,38,0,38
Streptomyces tendae,4,6,10
Angiostrongylus cantonensis,8,1,9
Ancylobacter aquaticus,5,0,5
Glycyrrhiza glabra,1,0,1
Ocimum basilicum,4,0,4
Gecarcinus lateralis,0,1,1
Callospermophilus lateralis,11,0,11
Berberidaceae,1,0,1
Xenorhabdus kozodoii,3,0,3
Ginglymostoma cirratum,2,0,2
Xanthisma gracile,6,1,7
Brassica juncea,118,7,125
Burkholderia lata,3,0,3
Aeropyrum pernix,100,8,108
Thermoplasma acidophilum,119,29,148
Streptomyces viridiviolaceus,2,0,2
Solanum chacoense,5,0,5
Naja haje,1,0,1
Bothrops jararaca,26,0,26
Silene dioica,14,13,27
Ficus benjamina,0,1,1
Lablab purpureus,20,2,22
Tanacetum vulgare,2,0,2
Mycobacterium ulcerans,4,0,4
Setaria faberi,2,0,2
Photobacterium leiognathi,9,0,9
Alkalimonas amylolytica,11,0,11
Gardenia jasminoides,7,0,7
Trimeresurus gramineus,1,0,1
Candida albicans,738,67,805
Persea americana,29,20,49
Streptomyces roseolus,5,0,5
Aporrectodea caliginosa,3,0,3
Helianthus annuus,74,19,93
Macropus eugenii,2,4,6
Corynebacterium callunae,25,1,26
Haloarcula vallismortis,27,12,39
Polysiphonia nigrescens,0,1,1
Cirrhinus mrigala,11,0,11
Argopecten irradians concentricus,9,2,11
Cyanea nozakii,5,3,8
Streptomyces endus,4,0,4
Sporosarcina ureae,11,0,11
Methanothermobacter marburgensis,31,4,35
Cuscuta japonica,0,1,1
Ptilota filicina,1,0,1
Musa x paradisiaca,42,10,52
Salvelinus fontinalis,2,0,2
Asparagus setaceus,4,3,7
Chondrichthyes,3,0,3
Streptomyces avermitilis,15,6,21
Nesterenkonia halobia,2,0,2
Procambarus clarkii,14,1,15
Alternaria alternata,15,1,16
Cryptomeria japonica,10,0,10
Burkholderia mallei,7,1,8
Bacteroides xylanisolvens,3,0,3
Armadillo officinalis,2,0,2
Symbiobacterium thermophilum,9,0,9
Ferroplasma acidiphilum,4,0,4
Heterodera glycines,2,0,2
Proteus vulgaris,66,9,75
Salmo salar,31,9,40
Pelobacter acetylenicus,6,3,9
Thermococcus profundus,2,0,2
Arthrobacter nitroguajacolicus,5,0,5
Bacillus subtilis,1195,167,1362
Parthenocissus tricuspidata,1,0,1
Jatropha curcas,6,2,8
Neisseria sicca,8,0,8
Vibrio parahaemolyticus,41,2,43
Neanthes virens,24,4,28
Methanohalophilus portucalensis,6,1,7
Streptomyces griseorubiginosus,25,0,25
Echinochloa phyllopogon,0,1,1
Microbulbifer thermotolerans,7,0,7
Embryophyta,19,8,27
Pectobacterium wasabiae,17,1,18
Walterinnesia aegyptia,17,0,17
Clostridium tetanomorphum,47,15,62
Cryptococcus terreus,0,1,1
Exiguobacterium aurantiacum,1,0,1
Planomonospora venezuelensis,0,1,1
Bacillus circulans,186,26,212
Roseobacter denitrificans,3,1,4
Liza aurata,3,0,3
Psychrobacter immobilis,1,0,1
Persephonella hydrogeniphila,1,0,1
Sardinops sagax,4,0,4
Oryzaephilus surinamensis,2,0,2
Helicobacter hepaticus,0,1,1
Basidiomycota,12,1,13
Nicotiana sylvestris,15,0,15
Eschscholzia californica,17,6,23
Candida mycoderma,15,2,17
Micromonospora viridifaciens,2,0,2
Stigmatella aurantiaca,4,1,5
Ursus thibetanus,3,0,3
Daucus carota,151,43,194
Virgibacillus pantothenticus,0,1,1
Pantoea agglomerans,45,4,49
Anas platyrhynchos,62,6,68
Lutjanus vitta,3,0,3
Lyrodus pedicellatus,2,0,2
Picea abies,8,2,10
Methanobrevibacter ruminantium,1,0,1
Cupiennius salei,8,0,8
Homarus americanus,12,1,13
Haloarcula marismortui,17,2,19
Apium graveolens,21,2,23
Rhizobium lupini,1,0,1
Ensifer adhaerens,10,1,11
Oxydoras sifontesi,1,0,1
Tabernaemontana divaricata,3,1,4
Thermotoga lettingae,2,0,2
Bordetella bronchiseptica,13,0,13
Pan troglodytes,2,2,4
Raoultella terrigena,8,0,8
Ucides cordatus,1,0,1
Thermoanaerobacterium thermosaccharolyticum,37,0,37
Nitrobacter winogradskyi,34,3,37
Clostridium innocuum,1,2,3
Mycobacterium gastri,5,0,5
Tribolium confusum,2,0,2
Vigna angularis,24,7,31
Pilimelia terevasa,0,1,1
Microbacterium arborescens,1,0,1
Lysinibacillus sphaericus,190,16,206
Methylopila helvetica,2,1,3
Cynara cardunculus,2,0,2
Tetrahymena,3,0,3
Branchiostoma lanceolatum,0,2,2
Dumontia incrassata,0,1,1
Bacillus nealsonii,6,0,6
Lobularia maritima,0,1,1
Clarias batrachus,16,5,21
Agkistrodon contortrix contortrix,7,1,8
Prunus salicina,1,8,9
Heliotropium angiospermum,1,0,1
squid,1,9,10
Thermotoga neapolitana,37,7,44
Palinurus elephas,2,0,2
Cyclotella cryptica,5,1,6
Moritella marina,7,1,8
Pantoea ananatis,4,4,8
Nephrolepis exaltata,1,0,1
Rickettsia prowazekii,1,1,2
Rachycentron canadum,4,0,4
Grammatophora oceanica,1,0,1
Cavia porcellus,893,143,1036
Styela plicata,10,0,10
Octopus vulgaris,7,5,12
Thermomicrobium roseum,11,0,11
Acidovorax facilis,1,1,2
Antheraea polyphemus,2,0,2
Spinacia oleracea,711,180,891
Furcellaria fastigiata,0,1,1
Finegoldia magna,2,0,2
Bradyrhizobium japonicum,57,12,69
Halorubrum xinjiangense,7,13,20
Corynebacterium pseudotuberculosis,2,0,2
Lactobacillus curvatus,14,3,17
Toxicodendron vernicifluum,5,6,11
Clostridium sordellii,2,0,2
Calotropis procera,6,0,6
Castilleja indivisa,3,0,3
Aedes aegypti,23,6,29
Gadus morhua,21,0,21
Crassostrea virginica,9,1,10
Ceratonia siliqua,3,0,3
Dactylis glomerata,2,0,2
Cryphonectria parasitica,18,0,18
Teredinibacter turnerae,1,0,1
Frog,14,1,15
Lentzea albida,1,0,1
Prevotella ruminicola,2,1,3
Lactobacillus reuteri,39,4,43
Ricinus communis,226,40,266
Leuconostoc pseudomesenteroides,3,0,3
Rubrobacter xylanophilus,2,0,2
More,3,0,3
Amorphophallus konjac,9,1,10
Silybum marianum,2,2,4
Festuca rubra,2,0,2
Carthamus tinctorius,17,3,20
Sitophilus zeamais,10,0,10
Foeniculum vulgare,6,0,6
Metallosphaera sedula,11,2,13
Streptomyces thioluteus,1,0,1
Prevotella buccae,1,0,1
Lupinus angustifolius,51,2,53
Lasallia pustulata,2,0,2
Parietaria judaica,13,0,13
Streptomyces thermocarboxydus,8,3,11
Brevicoryne brassicae,5,1,6
Electrophorus electricus,495,6,501
Echinochloa crus-galli,70,2,72
Thalassiosira pseudonana,8,5,13
Pinus densiflora,31,4,35
Streptococcus mutans,128,22,150
Sporolactobacillus laevolacticus,4,2,6
Berryteuthis magister,24,0,24
Sporobolomyces roseus,1,0,1
Sulfolobus tokodaii,124,17,141
Pleuronichthys verticalis,5,0,5
Mycobacterium leprae,20,4,24
Lamprobacter modestohalophilus,4,0,4
Deinococcus radiodurans,63,10,73
Potorous tridactylus,1,0,1
Blaberus craniifer,2,0,2
Stylophora pistillata,94,18,112
Dosidicus gigas,10,4,14
Parvimonas micra,1,0,1
Brachyspira pilosicoli,5,0,5
Nocardia farcinica,9,0,9
Momordica charantia,9,0,9
Sesamum indicum,8,3,11
Streptomyces lavendulae,18,1,19
Taraxacum officinale,9,0,9
Asterias amurensis,2,0,2
Bubo scandiacus,1,0,1
Haloarcula argentinensis,6,0,6
Hanseniaspora valbyensis,10,1,11
Thermus aquaticus,73,16,89
Veillonella atypica,4,1,5
Necturus maculosus,4,0,4
Lupinus arboreus,12,0,12
Myroides profundi,9,0,9
Bison bison,1,3,4
Methylococcus capsulatus,64,12,76
Natronococcus occultus,3,1,4
Streptomyces exfoliatus,18,0,18
Lycium barbarum,3,0,3
Clarias gariepinus,4,5,9
Lindernia dubia,1,1,2
Nitrosomonas europaea,71,14,85
Pediococcus parvulus,5,3,8
Pseudomonas fragi,50,2,52
Rhodobacter sphaeroides,281,49,330
Brassica oleracea,96,17,113
Vaccinium myrtillus,4,0,4
Allochromatium vinosum,41,18,59
Chloroflexus aurantiacus,19,2,21
Drosophila pseudoobscura,0,2,2
Streptomyces massasporeus,1,0,1
salmon,15,0,15
Hedera helix,0,1,1
Bos grunniens,9,0,9
Pecten maximus,29,2,31
Deschampsia antarctica,0,2,2
Chlorophyceae,1,0,1
Archaea,1,2,3
Chlorobium limicola,19,0,19
Sotalia fluviatilis,4,14,18
Bacillus amyloliquefaciens,90,14,104
Aeribacillus pallidus,39,3,42
Sphingosinicella xenopeptidilytica,1,1,2
Pyrococcus horikoshii,84,13,97
Oncorhynchus masou,5,0,5
Bacteroides intestinalis,0,2,2
Catharanthus roseus,137,17,154
dolphin,5,0,5
Nicotiana attenuata,5,1,6
Serratia marcescens,246,55,301
Renilla reniformis,39,2,41
Methylophaga aminisulfidivorans,2,0,2
Xiphophorus hellerii,1,0,1
Anser anser,7,3,10
Tachypleus tridentatus,20,6,26
Physcomitrella patens,21,8,29
Lactobacillus brevis,49,10,59
Synanceia horrida,3,0,3
Caenorhabditis briggsae,0,1,1
Staphylococcus aureus,1625,61,1686
Epinephelus coioides,8,0,8
Lethenteron camtschaticum,1,4,5
Ochrosia elliptica,1,0,1
Serratia proteamaculans,22,0,22
Valvata piscinalis,2,0,2
Bacillus niacini,6,0,6
Litchi chinensis,5,0,5
Chlorogonium elongatum,7,0,7
Vibrio harveyi,89,11,100
Thermus brockianus,2,0,2
Bacillus halodurans,42,5,47
Bifidobacterium dentium,4,0,4
Arachis hypogaea,122,51,173
Methylophilus methylotrophus,14,1,15
Staphylococcus haemolyticus,15,0,15
Coix lacryma-jobi,0,1,1
Bromus hordeaceus,0,2,2
Candida macedoniensis,10,0,10
Apis mellifera,82,16,98
Alternaria tenuissima,11,0,11
Lunularia cruciata,3,0,3
Aphrodita aculeata,10,0,10
Clostridium histolyticum,431,0,431
Cellvibrio japonicus,8,0,8
Acanthophis rugosus,1,0,1
Naja kaouthia,3,0,3
Paenibacillus alginolyticus,5,0,5
Leptospira interrogans,26,0,26
Achatina fulica,6,0,6
Mucuna pruriens,3,2,5
Callosobruchus chinensis,4,2,6
Rhinella arenarum,8,1,9
Lactobacillus paracasei,12,0,12
Gloydius shedaoensis,2,0,2
Entamoeba invadens,2,1,3
Methanothermococcus thermolithotrophicus,2,1,3
Serratula tinctoria,1,0,1
Vulcanithermus mediatlanticus,4,0,4
Streptomyces alboniger,2,0,2
Streptomyces mobaraensis,30,1,31
Pinus massoniana,1,0,1
Helix aspersa,12,6,18
Streptococcus oralis,1,0,1
Polygonatum multiflorum,0,1,1
Phaeodactylum tricornutum,30,7,37
Mougeotia scalaris,0,4,4
Sophora flavescens,7,0,7
Persicaria minor,5,1,6
Phalaris aquatica,5,0,5
Oncorhynchus nerka,6,0,6
Callosobruchus maculatus,9,1,10
Streptomyces olivaceus,14,0,14
Bambusa oldhamii,10,2,12
Halomonas eurihalina,2,0,2
Quercus rubra,2,0,2
Urochloa panicoides,7,3,10
Parthenium hysterophorus,0,1,1
Geobacillus caldoxylosilyticus,7,2,9
Candida humicola,5,1,6
Mastigocladus laminosus,14,2,16
Streptococcus cristatus,2,0,2
Dicranopteris linearis,0,1,1
Bartonella bacilliformis,4,0,4
Rhodotorula graminis,47,2,49
Oscillatoria limnetica,5,0,5
Alternanthera pungens,1,2,3
Alexandrium minutum,1,0,1
Arthrobacter pascens,35,0,35
Streptomyces glaucescens,76,0,76
Tenebrio molitor,70,4,74
Eriocheir sinensis,1,0,1
Dioscorea bulbifera,21,0,21
Mycoplasma hyopneumoniae,7,0,7
Hemiselmis virescens,8,0,8
Robinia pseudoacacia,2,2,4
Atriplex nummularia,0,1,1
Sphingobium japonicum,1,0,1
Acanthamoeba culbertsoni,21,4,25
Chenopodium album,67,1,68
Albatrossia pectoralis,10,0,10
Chaetoceros decipiens,1,0,1
Papaver bracteatum,1,1,2
Lytechinus variegatus,9,0,9
Pimpinella anisum,17,0,17
Prunus dulcis,52,4,56
Bacteroides stercoris,20,3,23
Chlorella sorokiniana,4,1,5
Sansevieria trifasciata,3,0,3
Gadus morhua callarias,7,0,7
Ruminobacter amylophilus,12,1,13
Hordeum vulgare,377,101,478
Enterococcus gallinarum,5,0,5
Burkholderia ambifaria,4,0,4
Chlorocebus sabaeus,2,1,3
Propionigenium modestum,6,1,7
Thermodesulfobacterium thermophilum,1,0,1
Schistocerca nitens,2,0,2
Agama agama,7,0,7
Thermofilum pendens,15,7,22
Treponema denticola,54,7,61
Aulacoseira granulata,1,0,1
Eubacterium oxidoreducens,10,0,10
Cancer pagurus,4,0,4
Dehalobacter restrictus,2,0,2
Pseudomonas citronellolis,3,0,3
Providencia stuartii,39,1,40
Lupinus polyphyllus,17,2,19
Orconectes limosus,7,0,7
Sulfurospirillum barnesii,1,0,1
Citrobacter amalonaticus,22,0,22
Thermococcus litoralis,71,7,78
Corynebacterium jeikeium,5,0,5
Desulfitobacterium hafniense,10,1,11
Vigna radiata var. radiata,201,42,243
Pelophylax perezi,1,0,1
Photobacterium phosphoreum,25,2,27
Moritella profunda,5,1,6
Nilssonia gangetica,1,0,1
Lactobacillus collinoides,5,0,5
Ficus religiosa,8,0,8
Yersinia mollaretii,4,0,4
Populus deltoides,0,3,3
Castellaniella defragrans,16,5,21
Cylindrotheca fusiformis,1,0,1
Desmodium paniculatum,1,0,1
Thermococcus kodakarensis,43,24,67
Melissa officinalis,1,0,1
Mycoplasma mycoides,7,2,9
Thunbergia alata,2,0,2
Candida tenuis,22,10,32
Rhodocyclus purpureus,2,3,5
Raoultella planticola,7,0,7
Streptomyces thermoviolaceus,14,1,15
Bombus atratus,2,2,4
Tetraodon nigroviridis,0,1,1
Xiphophorus maculatus,1,0,1
Tamarindus indica,0,2,2
Burkholderia stabilis,12,0,12
Burkholderia glumae,2,2,4
Spodoptera eridania,5,2,7
Ovis aries aries,72,6,78
Isoptericola jiangsuensis,2,0,2
Annona cherimola,2,0,2
Streptomyces longisporoflavus,6,2,8
Nephtys hombergii,2,0,2
Lycopodium clavatum,0,1,1
Mus musculus domesticus,2,0,2
Hemachatus haemachatus,1,0,1
Pseudomonas alcaligenes,37,7,44
Lactobacillus hilgardii,12,8,20
Lupinus luteus,98,5,103
Rhodococcus jostii,1,3,4
Corynebacterium ulcerans,2,0,2
Methylophaga alcalica,7,1,8
Naegleria gruberi,0,1,1
Cuscuta pentagona,3,0,3
Streptomyces arenae,1,0,1
Cellulosimicrobium cellulans,7,0,7
Tropaeolum majus,23,12,35
Morella rubra,0,1,1
Vibrio proteolyticus,135,0,135
Anoxybacillus amylolyticus,5,0,5
Hafnia alvei,15,20,35
Chaetoceros socialis,1,0,1
Corallococcus coralloides,12,0,12
Patella vulgata,30,2,32
Psophocarpus tetragonolobus,2,0,2
Vigna mungo,44,14,58
Forsythia ovata,1,0,1
Loxosceles reclusa,1,1,2
Streptomyces thermovulgaris,11,0,11
Clostridium subterminale,3,4,7
Chaetoceros vixvisibilis,1,0,1
Panicum miliaceum,10,1,11
Katsuwonus pelamis,12,0,12
Saccharomyces carlsbergensis,40,2,42
Poeciliopsis lucida,3,2,5
Eledone cirrhosa,6,0,6
Thermochromatium tepidum,1,0,1
Chenopodium quinoa,2,0,2
Ruegeria lacuscaerulensis,8,0,8
Urophycis chuss,10,2,12
Streptococcus ratti,3,2,5
Taxus baccata,5,1,6
Canis lupus familiaris,516,82,598
Yersinia enterocolitica,17,1,18
Achromobacter denitrificans,17,0,17
Staphylococcus pseudintermedius,4,1,5
Lepidium sativum,30,1,31
Periplaneta brunnea,2,0,2
Camelina sativa,1,1,2
Dickeya dadantii,2,2,4
Pyrus communis,33,22,55
Chlorella vulgaris,26,21,47
Senna obtusifolia,2,0,2
Staphylococcus saprophyticus,8,1,9
Methanothermus fervidus,2,0,2
Aix sponsa,4,0,4
Seriola quinqueradiata,8,0,8
Burkholderia xenovorans,19,2,21
