bigg.subsystem.metabolite,Alanine and Aspartate Metabolism,Alternate Carbon Metabolism,Anaplerotic Reactions,Arginine and Proline Metabolism,Cell Envelope Biosynthesis,Citric Acid Cycle,Cofactor and Prosthetic Group Biosynthesis,Cysteine Metabolism,Folate Metabolism,Glutamate Metabolism,Glycerophospholipid Metabolism,Glycine and Serine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inorganic Ion Transport and Metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Lipid Metabolism,Methionine Metabolism,Methylglyoxal Metabolism,Nitrogen Metabolism,Nucleotide Salvage Pathway,Oxidative Phosphorylation,Pentose Phosphate Pathway,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Threonine and Lysine Metabolism,"Transport, Inner Membrane","Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,tRNA Charging
Alanine and Aspartate Metabolism,5.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0
Alternate Carbon Metabolism,4.0,14.0,5.0,2.0,8.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,1.0,4.0,3.0,8.0,0.0,1.0,0.0,0.0
Anaplerotic Reactions,2.0,7.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0
Arginine and Proline Metabolism,4.0,6.0,5.0,3.0,5.0,2.0,4.0,0.0,0.0,3.0,5.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0
Biomass and maintenance functions,7.0,20.0,9.0,12.0,12.0,3.0,10.0,5.0,2.0,3.0,4.0,3.0,7.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,29.0,5.0,2.0,7.0,1.0,4.0,0.0,1.0,2.0,2.0
Cell Envelope Biosynthesis,3.0,8.0,4.0,2.0,7.0,2.0,4.0,0.0,0.0,4.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0
Citric Acid Cycle,0.0,4.0,3.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0
Cofactor and Prosthetic Group Biosynthesis,5.0,13.0,5.0,9.0,5.0,2.0,9.0,1.0,4.0,2.0,4.0,1.0,11.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,14.0,5.0,1.0,7.0,2.0,6.0,0.0,1.0,0.0,0.0
Cysteine Metabolism,2.0,9.0,4.0,5.0,4.0,2.0,2.0,1.0,0.0,2.0,4.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0
Folate Metabolism,0.0,4.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Glutamate Metabolism,1.0,3.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
Glycerophospholipid Metabolism,3.0,6.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,3.0,7.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
Glycine and Serine Metabolism,1.0,6.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
Glycolysis/Gluconeogenesis,2.0,8.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0
Glyoxylate Metabolism,0.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
Histidine Metabolism,3.0,4.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0
Inorganic Ion Transport and Metabolism,3.0,15.0,4.0,10.0,11.0,2.0,7.0,4.0,0.0,1.0,3.0,2.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,11.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0
Intracellular demand,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lipopolysaccharide Biosynthesis / Recycling,2.0,7.0,5.0,1.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0
Membrane Lipid Metabolism,0.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Methionine Metabolism,1.0,8.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
Methylglyoxal Metabolism,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Murein Recycling,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Nitrogen Metabolism,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nucleotide Salvage Pathway,3.0,7.0,4.0,7.0,4.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0
Oxidative Phosphorylation,3.0,6.0,1.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
Pentose Phosphate Pathway,0.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
Purine and Pyrimidine Biosynthesis,4.0,6.0,4.0,6.0,5.0,1.0,5.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0
Pyruvate Metabolism,2.0,7.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
Threonine and Lysine Metabolism,2.0,6.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0
"Transport, Inner Membrane",6.0,14.0,3.0,4.0,7.0,2.0,9.0,2.0,3.0,4.0,5.0,3.0,15.0,1.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,19.0,4.0,1.0,4.0,1.0,7.0,2.0,1.0,1.0,2.0
"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.0,7.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0
Unassigned,1.0,7.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
"Valine, Leucine, and Isoleucine Metabolism",1.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
tRNA Charging,4.0,6.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
